Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.60.1-192.168.60.3-51165-80-6,192.168.60.3,80,192.168.60.1,51165,6,6/7/2019 21:30,38,0,2,0,0,0,0,0,0,0,0,0,0,0,52631.57895,38,0,38,38,0,0,0,0,0,38,38,0,38,38,0,0,0,0,0,40,0,52631.57895,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2053,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-224.0.0.252-52305-5355-17,192.168.60.1,52305,224.0.0.252,5355,17,6/7/2019 21:32,409783,1,1,22,22,22,22,22,0,22,22,22,0,107.3739028,4.880631944,409783,0,409783,409783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.440315972,2.440315972,22,22,22,0,0,0,0,0,0,0,0,0,0,1,33,22,22,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51192-80-6,192.168.60.3,80,192.168.60.1,51192,6,6/7/2019 21:31,34,0,2,0,0,0,0,0,0,0,0,0,0,0,58823.52941,34,0,34,34,0,0,0,0,0,34,34,0,34,34,0,0,0,0,0,40,0,58823.52941,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2048,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51168-80-6,192.168.60.3,80,192.168.60.1,51168,6,6/7/2019 21:30,36,0,2,0,0,0,0,0,0,0,0,0,0,0,55555.55556,36,0,36,36,0,0,0,0,0,36,36,0,36,36,0,0,0,0,0,40,0,55555.55556,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2053,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51184-80-6,192.168.60.3,80,192.168.60.1,51184,6,6/7/2019 21:31,43,0,2,0,0,0,0,0,0,0,0,0,0,0,46511.62791,43,0,43,43,0,0,0,0,0,43,43,0,43,43,0,0,0,0,0,40,0,46511.62791,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2053,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51164-80-6,192.168.60.3,80,192.168.60.1,51164,6,6/7/2019 21:30,28,0,2,0,0,0,0,0,0,0,0,0,0,0,71428.57143,28,0,28,28,0,0,0,0,0,28,28,0,28,28,0,0,0,0,0,40,0,71428.57143,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2053,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51156-80-6,192.168.60.3,80,192.168.60.1,51156,6,6/7/2019 21:30,28,0,2,0,0,0,0,0,0,0,0,0,0,0,71428.57143,28,0,28,28,0,0,0,0,0,28,28,0,28,28,0,0,0,0,0,40,0,71428.57143,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,252,0,0,0,0,0,0,0,0,0,0,BENIGN
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,6/7/2019 21:30,33797365,2,1,0,0,0,0,0,0,0,0,0,0,0,0.088764316,1.69E+07,2.39E+07,3.38E+07,23,3.38E+07,3.38E+07,0,3.38E+07,3.38E+07,0,0,0,0,0,0,0,0,0,0,0,0.059176211,0.029588105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,23,0,23,23,3.38E+07,0,3.38E+07,3.38E+07,BENIGN
192.168.60.1-192.168.60.3-51180-80-6,192.168.60.3,80,192.168.60.1,51180,6,6/7/2019 21:31,36,0,2,0,0,0,0,0,0,0,0,0,0,0,55555.55556,36,0,36,36,0,0,0,0,0,36,36,0,36,36,0,0,0,0,0,40,0,55555.55556,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2052,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51159-80-6,192.168.60.3,80,192.168.60.1,51159,6,6/7/2019 21:30,34,0,2,0,0,0,0,0,0,0,0,0,0,0,58823.52941,34,0,34,34,0,0,0,0,0,34,34,0,34,34,0,0,0,0,0,40,0,58823.52941,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2048,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51167-80-6,192.168.60.3,80,192.168.60.1,51167,6,6/7/2019 21:30,45,0,2,0,0,0,0,0,0,0,0,0,0,0,44444.44444,45,0,45,45,0,0,0,0,0,45,45,0,45,45,0,0,0,0,0,40,0,44444.44444,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2053,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51175-80-6,192.168.60.3,80,192.168.60.1,51175,6,6/7/2019 21:31,40,0,2,0,0,0,0,0,0,0,0,0,0,0,50000,40,0,40,40,0,0,0,0,0,40,40,0,40,40,0,0,0,0,0,40,0,50000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2051,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51197-80-6,192.168.60.3,80,192.168.60.1,51197,6,6/7/2019 21:31,25,0,2,0,0,0,0,0,0,0,0,0,0,0,80000,25,0,25,25,0,0,0,0,0,25,25,0,25,25,0,0,0,0,0,40,0,80000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2053,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51216-80-6,192.168.60.3,80,192.168.60.1,51216,6,6/7/2019 21:32,35,0,2,0,0,0,0,0,0,0,0,0,0,0,57142.85714,35,0,35,35,0,0,0,0,0,35,35,0,35,35,0,0,0,0,0,40,0,57142.85714,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2053,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51160-80-6,192.168.60.3,80,192.168.60.1,51160,6,6/7/2019 21:30,44,0,2,0,0,0,0,0,0,0,0,0,0,0,45454.54545,44,0,44,44,0,0,0,0,0,44,44,0,44,44,0,0,0,0,0,40,0,45454.54545,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2053,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51174-80-6,192.168.60.3,80,192.168.60.1,51174,6,6/7/2019 21:31,29,0,2,0,0,0,0,0,0,0,0,0,0,0,68965.51724,29,0,29,29,0,0,0,0,0,29,29,0,29,29,0,0,0,0,0,40,0,68965.51724,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2129,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-239.255.255.250-56752-1900-17,192.168.60.1,56752,239.255.255.250,1900,17,6/7/2019 21:31,3004052,3,1,522,174,174,174,174,0,174,174,174,0,231.687068,1.331534874,1001350.667,644.2688362,1001976,1000689,2002076,1001038,493.5605333,1001387,1000689,0,0,0,0,0,0,0,0,0,24,8,0.998651155,0.332883718,174,174,174,0,0,0,0,0,0,0,0,0,0,0,217.5,174,174,0,0,0,0,0,0,3,522,1,174,-1,-1,3,0,0,0,0,0,0,0,0,0,BENIGN
